Name,Functional Group,Default
C_BR_ACR_P,Hard coral,C_BR_ACR_P
C_BR_MON_B,Hard coral,C_BR_MON_B
C_BR_OTH,Hard coral,C_BR_OTH
C_BR_OTH_B,Hard coral,C_BR_OTH_B
C_CB_ACR,Hard coral,C_CB_ACR
C_CB_ACR_P,Hard coral,C_CB_ACR_P
C_CB_OTH,Hard coral,C_CB_OTH
C_CB_OTH_B,Hard coral,C_CB_OTH_B
C_CL_GAL,Hard coral,C_CL_GAL
C_CL_GAL_B,Hard coral,C_CL_GAL_B
C_CL_GAP,Hard coral,C_CL_GAP
C_CL_GAP_B,Hard coral,C_CL_GAP_B
C_CL_MON,Hard coral,C_CL_MON
C_CL_MON_B,Hard coral,C_CL_MON_B
C_CL_OTH_B,Hard coral,C_CL_OTH_B
C_CL_POR_B,Hard coral,C_CL_POR_B
C_EN_ACR_B,Hard coral,C_EN_ACR_B
C_EN_FUN,Hard coral,C_EN_FUN
C_EN_FUN_B,Hard coral,C_EN_FUN_B
C_EN_GAP,Hard coral,C_EN_GAP
C_EN_GAP_B,Hard coral,C_EN_GAP_B
C_EN_PAC,Hard coral,C_EN_PAC
C_EN_PAC_B,Hard coral,C_EN_PAC_B
C_FL_OTH_B,Hard coral,C_FL_OTH_B
C_FO_MON_B,Hard coral,C_FO_MON_B
C_FO_OTH_B,Hard coral,C_FO_OTH_B
C_FO_PAC,Hard coral,C_FO_PAC
C_FO_PAC_B,Hard coral,C_FO_PAC_B
Cirrhipathes sp.,Hard coral,Cirr
Cladocora arbuscula,Hard coral,ClaArb
Cladocora caespitosa,Hard coral,ClaCae
Cladopsammia gracilis,Hard coral,ClaGra
C_LA_MON,Hard coral,C_LA_MON
C_LA_MON_B,Hard coral,C_LA_MON_B
C_LA_OTH,Hard coral,C_LA_OTH
C_LA_OTH_B,Hard coral,C_LA_OTH_B
C_LA_PAC,Hard coral,C_LA_PAC
C_LA_PAC_B,Hard coral,C_LA_PAC_B
C_LA_POR,Hard coral,C_LA_POR
C_LA_POR_B,Hard coral,C_LA_POR_B
C_LA_TUR,Hard coral,C_LA_TUR
C_LA_TUR_B,Hard coral,C_LA_TUR_B
C_MS_GAP,Hard coral,C_MS_GAP
C_MS_GAP_B,Hard coral,C_MS_GAP_B
C_MS_LOB,Hard coral,C_MS_LOB
C_MS_LOB_B,Hard coral,C_MS_LOB_B
C_MS_MON,Hard coral,C_MS_MON
C_MS_MON_B,Hard coral,C_MS_MON_B
C_MS_OTH_B,Hard coral,C_MS_OTH_B
Cnidarian,Hard coral,Cndi
Cnidarian_Tubastrea,Hard coral,Cnd
Coeloseris,Hard coral,Coeloseris
Colpophyllia breviserialis,Hard coral,COB
Colpophyllia natans,Hard coral,CoNat
COLPOPHYLLIA NATANS w White Pox,Hard coral,CoNat-WPox
Coral from other experiment,Hard coral,CFOE
Coral Juvenile,Hard coral,Cor_juv
"Coral: massive, sub-massive, encrusting",Hard coral,MSE-HC
Coral: meandroid,Hard coral,MEA-HC
Corals:Stony Coral:Acropora:Submassive,Hard coral,AcrCS*
Corals:Stony Coral:Branching,Hard coral,CB
Corals:stonycoral:digitat,Hard coral,ACD
Corals:Stony Coral:Mushroom,Hard coral,CMR*
Corals:Stony Coral:Musroom,Hard coral,CMR
Corals: Stony corals:Bottlebrush,Hard coral,CBTB
Corals: Stony corals: Corymbose,Hard coral,CCOR
Corals: Stony corals: Digitate,Hard coral,CDIG
Corals: Stony corals: Solitary / mushroom: At,Hard coral,CSOA
Corals: Stony corals: Solitary / mushroom: Fr,Hard coral,CSOFL
Corals: Stony corals: Staghorn,Hard coral,CSTAG
Corals: Stony corals: Tabulate,Hard coral,CTAB
coral:stonycoral;foliosa,Hard coral,cf
Coscinaraea,Hard coral,Cosci
Coscinaraea columna,Hard coral,CoCol
